trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_accuracy,val_f1_macro,val_auc_macro,val_bss
20,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.8573558453087494,0.6261682242990654,0.46505376344086025,0.7015487735961529,0.10123030324907267
20,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.7838525983774773,0.6355140186915887,0.6275241698192517,0.80390084469381,0.2679367849594335
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,1.0057823440738927,0.514018691588785,0.3766623766623766,0.6546350690763446,0.011636536882280057
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.8780632286428292,0.5607476635514018,0.506074968176032,0.7011278577437436,0.051925077304306844
21,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.7931360546673569,0.6728971962616822,0.6228870858688302,0.7899422714640106,0.250850810336518
21,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.9824297160745781,0.5046728971962616,0.3700534759358289,0.6596607282259038,0.033063366120011706
22,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,1.0136570395710311,0.6074766355140186,0.49358327325162227,0.7065024563178469,0.013185440657923264
22,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,0.9767117834536829,0.514018691588785,0.5074136955291454,0.7900201350658204,0.1518792181613734
22,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,1.1341550779119831,0.45794392523364486,0.4055711127487103,0.6726258984719538,-0.09140651741153727
23,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,0.921177089214325,0.5420560747663551,0.437693851486955,0.6521186987796863,0.01637238392343543
23,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,0.80629962682724,0.5887850467289719,0.571012443438914,0.8193547581781916,0.2425340135001155
23,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,1.0082955360412598,0.48598130841121495,0.4229616186059017,0.6829202695846993,0.0027565644077345297
24,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.9181103706359863,0.5700934579439252,0.4532243236143945,0.6866166735315499,0.036626299961454056
24,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.8294107913970947,0.5887850467289719,0.50696571093093,0.7749098419029034,0.22959929519254296
24,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.9856352210044861,0.48598130841121495,0.35761823845935997,0.6623606691416938,0.02184918110566536
25,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,0.9143621553884489,0.5514018691588785,0.4072549019607843,0.711690991690359,0.04052731229238804
25,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,0.8006559354122554,0.6355140186915887,0.6139455782312925,0.7800361903559442,0.2526342919423664
25,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,1.0325318613899088,0.4953271028037383,0.4438818565400844,0.6689686283644557,-0.02216848474706179
26,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.8844762828862556,0.5607476635514018,0.456617169904951,0.6865565908593232,0.05976357780384245
26,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.7928657197506628,0.5981308411214953,0.5987119061400364,0.8054077525865605,0.25267713965554284
26,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.9644613923313462,0.5046728971962616,0.4368854829381146,0.6832973800996037,0.05411056657426494
27,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,0.8964788523789878,0.5514018691588785,0.4938638974940734,0.7002855729231601,0.012977175545961561
27,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,0.8638276240535986,0.6355140186915887,0.6361819090454772,0.7951553645855443,0.2218818137569929
27,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,1.0939740432757084,0.5327102803738317,0.3894951258547941,0.6430578058729318,-0.053859233546099894
28,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.9280701279640198,0.5233644859813084,0.49434035909445745,0.67273862953212,-0.004648895804532316
28,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.8210034370422363,0.5981308411214953,0.5605473338031478,0.7620366605916074,0.2152829977563433
28,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,256,1,0.0003,0.0,32,25,1.0,60,0.9720824956893921,0.48598130841121495,0.4203717887928415,0.6744854812882387,0.037912760495572795
29,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,0.9207214696385037,0.514018691588785,0.42352321552321553,0.6781362449524219,0.021743088487000017
29,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,0.7869408620852176,0.7009345794392523,0.6911852142979512,0.8287912467607012,0.2905781647211011
29,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,1.0245877665894054,0.5700934579439252,0.4205587079877782,0.6797120554803301,0.007071994346806498
30,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.9377026557922363,0.5794392523364486,0.3370329263780984,0.6744632096540104,0.023806563183166762
30,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.7942199110984802,0.6635514018691588,0.6501779670269681,0.7974262007838938,0.25775149930354546
30,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,0.9675184488296509,0.514018691588785,0.33360950013808344,0.6927459022732704,0.04237414215228008
31,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,0.9213079815713044,0.5046728971962616,0.4850250847747719,0.7554312691291966,0.01874547129192128
31,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,0.9926547124007038,0.6074766355140186,0.5960583610391197,0.7894835524151791,0.13259198455269905
31,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,1.1323928197967672,0.42990654205607476,0.3076370944587999,0.6639641314201701,-0.11388382993180923
