trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
51,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.43015503883361816,64,2,0.3,0.0005,1e-05,64,12,60,0.29929688572883606,30,50,0.5470803380012512,0.47056618332862854,0.6722384741202752,0.43015503883361816
51,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.5860717296600342,64,2,0.3,0.0005,1e-05,64,12,60,0.226079523563385,36,56,0.4754782021045685,0.3993316888809204,0.7805766060484195,0.5860717296600342
52,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.7655994892120361,32,1,0.5,0.0003,0.0001,16,6,60,0.252401097653768,57,60,0.5023953914642334,0.39120686054229736,0.9265138707021489,0.7655994892120361
52,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.5671857595443726,32,1,0.5,0.0003,0.0001,16,6,60,0.2240058447305973,58,60,0.4732925593852997,0.40394940972328186,0.7588248933155491,0.5671857595443726
52,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.6475555896759033,32,1,0.5,0.0003,0.0001,16,6,60,0.19006515379193462,57,60,0.4359646439552307,0.35992884635925293,0.8089764016148631,0.6475555896759033
53,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.7743621468544006,64,2,0.1,0.0003,1e-05,32,6,60,0.24296550452709198,41,60,0.4929153025150299,0.3984130024909973,0.9336663875958251,0.7743621468544006
53,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.4238947629928589,64,2,0.1,0.0003,1e-05,32,6,60,0.29816702008247375,51,60,0.5460467338562012,0.46459829807281494,0.6926044890431353,0.4238947629928589
53,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.6597697734832764,64,2,0.1,0.0003,1e-05,32,6,60,0.18347837030887604,60,60,0.4283437132835388,0.34437263011932373,0.8263961868427648,0.6597697734832764
54,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.8294032216072083,64,2,0.1,0.001,0.0,32,9,60,0.1835000067949295,13,33,0.42836901545524597,0.3401079475879669,0.9381520538865462,0.8294032216072083
54,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.49335384368896484,64,2,0.1,0.001,0.0,32,9,60,0.2626917362213135,17,37,0.5125346183776855,0.4311229884624481,0.7329489779495406,0.49335384368896484
54,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.6677596569061279,64,2,0.1,0.001,0.0,32,9,60,0.18146316707134247,21,41,0.4259849786758423,0.3445250689983368,0.8306301670202668,0.6677596569061279
55,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.725816011428833,128,2,0.3,0.0001,1e-05,64,6,60,0.29523965716362,60,60,0.543359637260437,0.4129982888698578,0.9206709564841227,0.725816011428833
