rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
85,127,3,"[128, 256, 512]",5,0.2,256,1,0.0003,0.0001,32,25,1.0,60,,,,,0.7833558917045593,0.061047053904913974,0.6417445482866043,0.01588479599250089,0.6094326298017366,0.0388177097444146,0.8101038240860965,0.06052729203452527,0.21415044445920672,0.10533633646458539,0.21415044445920672,0.10533633646458539
86,69,3,"[64, 128, 256]",5,0.0,256,2,0.0005,0.0001,8,12,1.0,60,,,,,0.7841030427971362,0.08105275447326869,0.6417445482866043,0.02679852108112968,0.6262886531094314,0.04262547916994511,0.8131433413784208,0.07186870372034683,0.2101912297585727,0.13100325292199752,0.2101912297585727,0.13100325292199752
87,66,3,"[128, 256, 512]",5,0.4,128,2,0.001,0.0,16,12,0.5,60,,,,,0.7841098780201232,0.08506491640838892,0.6261682242990654,0.08996591325977354,0.6128151161680919,0.10123165519985068,0.8088167435091124,0.07008880507323484,0.20869239656307412,0.13844861999959468,0.20869239656307412,0.13844861999959468
88,14,3,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,,,,,0.8094231685002645,0.08221040279339797,0.6386292834890965,0.02679852108112968,0.5746139003666125,0.02124859765111907,0.7785215073466293,0.05593259854365006,0.20728406009559194,0.05744531273134552,0.20728406009559194,0.05744531273134552
89,97,3,"[64, 128, 256]",3,0.2,512,2,0.0005,0.0,16,25,0.5,60,,,,,0.8113509531704436,0.07031085783066544,0.6510903426791277,0.038407563881426646,0.6027823152889354,0.06303465272023356,0.7794006529960703,0.06809710076066663,0.20704725684114997,0.12326148230298734,0.20704725684114997,0.12326148230298734
90,68,3,"[64, 128, 256, 512]",3,0.0,128,2,0.0005,0.0,16,12,0.5,60,,,,,0.8019473665971252,0.0833587367367967,0.67601246105919,0.01588479599250089,0.6177541663341986,0.043839157665218585,0.8118462003666082,0.04651851506925012,0.2055371496245405,0.03649759841119694,0.2055371496245405,0.03649759841119694
91,53,3,"[32, 64, 128]",3,0.2,512,2,0.0005,0.0,16,25,1.0,60,,,,,0.8282264948262604,0.07653514213600054,0.6884735202492211,0.019203781940713323,0.6267837635165692,0.06486748772927932,0.7782419948960121,0.0869152490632361,0.20414940304725826,0.08981789755763005,0.20414940304725826,0.08981789755763005
92,2,3,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,,,,,0.8084997159669705,0.05180318758697393,0.6510903426791277,0.01762259890807595,0.6012125441003491,0.03634138041743123,0.7857351930163659,0.06714946265485841,0.20076126003335537,0.0962429392898577,0.20076126003335537,0.0962429392898577
93,67,3,"[64, 128, 256]",5,0.4,512,2,0.0005,1e-05,32,25,1.0,60,,,,,0.8108935952186584,0.10739000090487073,0.6292834890965732,0.0884428010378716,0.607920298557853,0.09363241884513311,0.800346233068166,0.06085123712850524,0.20027664604138293,0.14610852854758535,0.20027664604138293,0.14610852854758535
94,71,3,"[64, 128, 256, 512]",3,0.2,256,2,0.0003,1e-05,16,25,0.5,60,,,,,0.8177226850548266,0.0381598528477158,0.6728971962616823,0.020189223359526047,0.6058775358176631,0.04741685960620451,0.7825084597742827,0.0757861208640769,0.19470962673767703,0.06038301578709478,0.19470962673767703,0.06038301578709478
95,82,3,"[32, 64, 128]",5,0.0,512,1,0.001,1e-05,8,12,0.5,60,,,,,0.8303082199111534,0.08777794469551768,0.6635514018691588,0.020189223359526047,0.6305496864154595,0.031458901459524166,0.7935641493501225,0.05793369633275139,0.19426466736088044,0.12287394283441085,0.19426466736088044,0.12287394283441085
96,100,3,"[64, 128, 256, 512]",5,0.4,256,2,0.001,1e-05,16,12,1.0,60,,,,,0.7947376431705795,0.07853646942564241,0.6292834890965732,0.030839548089132918,0.612942135550179,0.04070975560579778,0.8240305863420768,0.026044749649710104,0.19399140405965154,0.0945697290452233,0.19399140405965154,0.0945697290452233
97,93,3,"[128, 256, 512]",3,0.2,512,1,0.0005,1e-05,16,12,0.5,60,,,,,0.8341456506853905,0.07973148435888713,0.6261682242990654,0.033261926018789134,0.5777427447060391,0.051546814524481455,0.779531618180886,0.05751735738325097,0.19084249226027783,0.09754263936578171,0.19084249226027783,0.09754263936578171
98,112,3,"[128, 256, 512]",3,0.0,512,1,0.001,0.0001,32,12,1.0,60,,,,,0.8579390247662863,0.15077229753850016,0.5950155763239876,0.18944293826181646,0.5841097440066534,0.17477090239869958,0.8181211812327317,0.07470399743428556,0.18884189068965193,0.23567554243927155,0.18884189068965193,0.23567554243927155
99,18,3,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,,,,,0.8650163202270912,0.08145610717447346,0.6261682242990654,0.0076308091675488425,0.5860392171011698,0.026107935720290278,0.8014477453521662,0.05668483868129715,0.1862623225806681,0.08959744334000552,0.1862623225806681,0.08959744334000552
100,55,3,"[64, 128, 256, 512]",5,0.2,256,1,0.001,0.0,32,12,1.0,60,,,,,0.7982798417409261,0.08943263448566764,0.6074766355140186,0.09561376481758756,0.5853531243216893,0.07207639616241,0.8446175656794929,0.03064258856837611,0.18478940999080062,0.17999105259536244,0.18478940999080062,0.17999105259536244
101,37,3,"[64, 128, 256, 512]",3,0.2,128,2,0.0005,0.0,16,12,0.5,60,,,,,0.840326394433173,0.006408202220764285,0.6448598130841121,0.05502654745375606,0.5966010883688146,0.0689864047769574,0.7715764782536733,0.05196220607722664,0.18436190122934717,0.08570879353470845,0.18436190122934717,0.08570879353470845
