rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
189,75,val_r2,0.1851330796877543,0.22987616610056227,3,32,1,0.1,0.0003,0.0001,64,9,60
190,162,val_r2,0.1848729451497396,0.2887820330837098,3,128,2,0.3,0.0003,1e-05,32,6,60
191,196,val_r2,0.18463808298110962,0.2758204447857564,3,256,2,0.5,0.0001,0.0001,16,6,60
192,211,val_r2,0.18419561783472696,0.269918635099652,3,64,2,0.1,0.0001,0.0,16,9,60
193,48,val_r2,0.18397637208302817,0.27412395227902636,3,64,2,0.0,0.0001,0.0,16,9,60
194,23,val_r2,0.1834708253542582,0.23682639123504765,3,128,2,0.3,0.0001,0.0,64,12,60
195,161,val_r2,0.18289132912953696,0.2986704292704679,3,128,1,0.0,0.001,0.0,16,9,60
196,170,val_r2,0.1828221877415975,0.2520062434203985,3,128,2,0.0,0.0001,0.0001,64,9,60
197,227,val_r2,0.1822523276011149,0.21376967156172594,3,32,2,0.0,0.0001,1e-05,32,6,60
198,225,val_r2,0.18217283487319946,0.34793316354831316,3,256,2,0.1,0.001,0.0,32,9,60
199,122,val_r2,0.18189644813537598,0.23418357148200072,3,64,2,0.5,0.001,0.0001,32,12,60
200,57,val_r2,0.1814225117365519,0.26001290982260533,3,256,2,0.3,0.0003,1e-05,16,12,60
201,19,val_r2,0.18132632970809937,0.2555976657700449,3,32,1,0.5,0.0003,0.0,32,12,60
202,62,val_r2,0.1812337040901184,0.24250345064023102,3,32,2,0.0,0.0003,0.0001,64,9,60
203,210,val_r2,0.1812042792638143,0.24738642873082886,3,32,2,0.0,0.001,0.0001,64,12,60
204,190,val_r2,0.1808863878250122,0.28550972060086227,3,256,2,0.0,0.0001,1e-05,64,6,60
205,126,val_r2,0.18081359068552652,0.26389689307563596,3,128,2,0.1,0.0003,0.0,16,9,60
206,115,val_r2,0.18009034792582193,0.3168226744320491,3,256,2,0.1,0.0005,0.0001,16,9,60
207,70,val_r2,0.17859695355097452,0.26213245713923305,3,64,2,0.1,0.0003,0.0001,32,12,60
208,255,val_r2,0.17844543854395548,0.19496672289609507,3,32,1,0.0,0.0001,0.0,32,12,60
209,55,val_r2,0.1783510446548462,0.2529129291867025,3,128,2,0.3,0.0001,1e-05,64,6,60
210,72,val_r2,0.1776870091756185,0.2177952395381714,3,32,2,0.5,0.0005,0.0,32,9,60
211,37,val_r2,0.1776277224222819,0.2245881835734158,3,32,1,0.0,0.001,0.0001,64,12,60
212,32,val_r2,0.1771539251009623,0.3412108952539914,3,64,1,0.0,0.0005,1e-05,16,12,60
213,201,val_r2,0.17637393871943155,0.2233597617139964,3,32,2,0.3,0.001,1e-05,32,9,60
214,188,val_r2,0.17473034063975015,0.1693983143075167,3,64,1,0.1,0.0001,0.0001,64,9,60
