trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
22,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,19,0.6549566388130188,0.5201738476753235,0.5450875282317083,0.2899664044380188
22,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,28,0.6831232309341431,0.5446466207504272,0.7013842144670388,0.4810892939567566
22,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,8,0.758738100528717,0.6088583469390869,0.3547718600592864,0.057963788509368896
23,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,23,0.6473729014396667,0.5051621198654175,0.5547107571465055,0.30631422996520996
23,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,47,0.6839189529418945,0.5498682260513306,0.7002330703405107,0.47987961769104004
23,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,149,0.7275545597076416,0.6062818765640259,0.513306348530345,0.13380658626556396
24,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,73,0.6407631635665894,0.5098231434822083,0.567705161977245,0.32040703296661377
24,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,144,0.6741692423820496,0.5345513820648193,0.7092846788292846,0.4946032166481018
24,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,293,0.7408795952796936,0.6147806644439697,0.49959742589472333,0.10178756713867188
25,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,169,0.6426999568939209,0.5035216808319092,0.5626186081237646,0.3162924647331238
25,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,347,0.7019339799880981,0.5659622550010681,0.6846676364568882,0.4521178603172302
25,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,136,0.732615053653717,0.5907095670700073,0.4303857711573503,0.1217150092124939
26,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,195,0.6378862857818604,0.5078683495521545,0.5716954533004771,0.3264957666397095
26,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,438,0.6751016974449158,0.5373712778091431,0.7095871007803757,0.4932042360305786
26,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,110,0.7749572396278381,0.6230403184890747,0.3211506127988454,0.01725846529006958
27,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,32,0.6289708018302917,0.49961596727371216,0.5886591442774227,0.3451908230781555
27,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,44,0.6851869821548462,0.5512901544570923,0.7060582453571994,0.47794920206069946
27,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,25,0.735163688659668,0.5978423357009888,0.4405777528410114,0.1155935525894165
28,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,41,0.6474332213401794,0.5098974704742432,0.5611465760349135,0.3061848282814026
28,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,49,0.679835855960846,0.5425534248352051,0.7092345438912503,0.48607146739959717
28,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,50,0.7469409704208374,0.6067731380462646,0.46050367521597135,0.08703035116195679
29,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,44,0.6314056515693665,0.4986015260219574,0.5834974114121976,0.34011125564575195
29,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,87,0.6884948015213013,0.547192394733429,0.6981400035807666,0.4728964567184448
29,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,108,0.7569737434387207,0.6224914789199829,0.45341866384766005,0.0623399019241333
30,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,40,0.6404616236686707,0.5068408846855164,0.5695778533660514,0.3210465908050537
30,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,47,0.6934035420417786,0.5591246485710144,0.6952216902132369,0.46535348892211914
30,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,18,0.7471053600311279,0.6049900054931641,0.40566014053059046,0.08662843704223633
31,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,195,0.6304711103439331,0.49841728806495667,0.585432529222968,0.34206318855285645
31,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,396,0.6760954260826111,0.5357303023338318,0.7084699685537654,0.4917111396789551
31,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,85,0.7763813138008118,0.6260342597961426,0.3024571828966891,0.013643443584442139
32,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,162,0.6466324329376221,0.5091147422790527,0.5562421285002623,0.30790019035339355
32,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,421,0.6981385350227356,0.5709349513053894,0.694204805004695,0.45802682638168335
