trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
35,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,207,0.7383177570093458,0.7441057394617765,0.872208918532448,0.3721122909562524
36,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,259,0.5607476635514018,0.551777407371093,0.7714394976158458,0.02394805004018763
36,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,306,0.7289719626168224,0.7343463754567522,0.8567557348322853,0.38004755056257766
36,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,624,0.7476635514018691,0.7514098972922502,0.876465854407031,0.38887847838824996
37,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,1199,0.6542056074766355,0.6405260764629753,0.8140596752745273,0.16055195546717738
37,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,941,0.7102803738317757,0.7143335966865378,0.871240852563527,0.3971083534524702
37,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,0.6,1.0,10.0,1.0,10.0,0.1,0.0,50,1165,0.7009345794392523,0.6884101596972885,0.8597060619119444,0.3395676671728681
38,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,206,0.616822429906542,0.613637355253628,0.8081941771778766,0.11777248362827042
38,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,167,0.7102803738317757,0.7127739984882843,0.8732790272276706,0.401669910999629
38,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,527,0.719626168224299,0.702514463729417,0.8737450458038692,0.38473877893622366
39,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,764,0.616822429906542,0.613637355253628,0.8082380188181487,0.11776131602383466
39,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,499,0.7289719626168224,0.7323014791256499,0.8746370089635594,0.40462370597685116
39,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.01,1.0,0.6,10.0,1.0,5.0,0.5,1.0,100,1003,0.7289719626168224,0.729308118781803,0.8704254895431367,0.36160050008623024
