trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
26,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.6016526222229004,128,2,0.0,0.001,0.0001,16,6,60,0.4268951910810593,2,22,0.6533721089363098,0.469393253326416,0.837785109224992,0.6016526222229004
26,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,-0.033048152923583984,128,2,0.0,0.001,0.0001,16,6,60,0.5391142154351259,1,21,0.7342439293861389,0.5941849946975708,0.24311903309768726,-0.033048152923583984
26,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.15012991428375244,128,2,0.0,0.001,0.0001,16,6,60,0.49978378830076775,7,27,0.7069538235664368,0.5973718166351318,0.4944885861933814,0.15012991428375244
27,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.7017617225646973,128,1,0.2,0.0003,0.0001,16,12,60,0.3279802951139289,10,30,0.5726956129074097,0.4066540002822876,0.932849093222171,0.7017617225646973
27,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.0847206711769104,128,1,0.2,0.0003,0.0001,16,12,60,0.4793690551411022,3,23,0.6923648118972778,0.5521228909492493,0.2960075212622653,0.0847206711769104
27,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.15031331777572632,128,1,0.2,0.0003,0.0001,16,12,60,0.5008714237274268,10,30,0.7077227234840393,0.5773440599441528,0.4694802318672551,0.15031331777572632
28,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6943930387496948,128,1,0.4,0.0003,0.0001,32,12,60,0.33608388900756836,15,35,0.5797274112701416,0.4147883951663971,0.9255804238399916,0.6943930387496948
28,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.09715580940246582,128,1,0.4,0.0003,0.0001,32,12,60,0.4728563129901886,5,25,0.687645435333252,0.5462419390678406,0.3188061939540937,0.09715580940246582
28,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.22881221771240234,128,1,0.4,0.0003,0.0001,32,12,60,0.4545980989933014,23,43,0.674238920211792,0.5588321089744568,0.5449458559168037,0.22881221771240234
29,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6721760034561157,64,1,0.4,0.0003,0.0001,32,9,60,0.35414043068885803,31,51,0.595097005367279,0.4292616844177246,0.9141583900360054,0.6721760034561157
