rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
41,22,3,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,,,,,0.2063731063284978,0.016010401143296184,0.4539316197236379,0.017872647403331155,0.3615139126777649,0.01914661896798598,0.837072309706266,0.03528302335184992,0.6957001686096191,0.05823727765210371,0.6957001686096191,0.05823727765210371
42,27,3,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,,,,,0.20916918319333752,0.02334020393066131,0.45660658677419025,0.026069179438033267,0.3708805541197459,0.027749574587151986,0.8443109776531669,0.04120968120444238,0.6929317712783813,0.058825457078039184,0.6929317712783813,0.058825457078039184
43,8,3,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,,,,,0.210961567905276,0.034235702336128306,0.45768500367800397,0.03854878689682377,0.3687665065129598,0.03574777801827215,0.8392717819980468,0.04387546806081877,0.691754420598348,0.06616895099289291,0.691754420598348,0.06616895099289291
44,113,3,"[64, 128, 256]",5,0.2,256,2,0.0003,1e-05,16,25,1.0,60,,,,,0.2110146319151296,0.05045324091894995,0.45575907826423645,0.057430646507532136,0.3628474275271098,0.04989413281428572,0.8365617420133641,0.05348989979421928,0.6912277738253275,0.09330905851273641,0.6912277738253275,0.09330905851273641
45,65,3,"[32, 64, 128]",5,0.0,512,2,0.0005,0.0001,32,25,1.0,60,,,,,0.21199158827463785,0.033609936425298616,0.458879013856252,0.03770675377365995,0.3653209904829661,0.027229683280701154,0.8476935582172854,0.038676554757639835,0.6905206441879272,0.0638758111177516,0.6905206441879272,0.0638758111177516
46,82,3,"[32, 64, 128]",5,0.0,512,1,0.001,1e-05,8,12,0.5,60,,,,,0.20845342701376413,0.00578196191037474,0.4565225839614868,0.006362344196795735,0.3672312597433726,0.005831519936084387,0.838562336226139,0.03893179261456249,0.6904338200887045,0.06396623534809256,0.6904338200887045,0.06396623534809256
47,119,3,"[64, 128, 256]",5,0.2,256,1,0.0003,0.0,8,25,1.0,60,,,,,0.21089820575398446,0.029704343546575848,0.45804187655448914,0.03310206142456812,0.36892521381378174,0.01735107068169117,0.8416042107613707,0.04529709685286495,0.6890251437822977,0.07285385342038465,0.6890251437822977,0.07285385342038465
48,84,3,"[64, 128, 256]",5,0.0,512,1,0.0003,0.0001,8,25,1.0,60,,,,,0.21358667970910625,0.03484576930388424,0.4605088233947754,0.038950523773526737,0.36703023314476013,0.029266611509654625,0.8368506143790245,0.04141321034073369,0.6888465881347656,0.06236113163094762,0.6888465881347656,0.06236113163094762
49,19,3,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,,,,,0.2123639181465189,0.0404010925429417,0.4585820933183034,0.04545423788264762,0.3583572705586751,0.029886487532195877,0.8337347470486686,0.05115759065013887,0.6886964241663615,0.07999548630838882,0.6886964241663615,0.07999548630838882
50,45,3,"[32, 64, 128]",3,0.4,128,2,0.001,1e-05,32,12,0.5,60,,,,,0.2184170683224996,0.05622966180560084,0.46305152773857117,0.0632485656343734,0.37314462661743164,0.05923318068784074,0.8332172817410681,0.04281122921324584,0.687720795472463,0.07090490810947592,0.687720795472463,0.07090490810947592
51,30,3,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.21122067173322043,0.031404458558384876,0.4582740565141042,0.03472217074289137,0.35600831111272174,0.0212239993189542,0.8365597951674691,0.04505078842553236,0.6873203913370768,0.079537279950552,0.6873203913370768,0.079537279950552
52,66,3,"[128, 256, 512]",5,0.4,128,2,0.001,0.0,16,12,0.5,60,,,,,0.2131040374345126,0.029505002985611147,0.46046249071757,0.03283794448761282,0.37307003140449524,0.03146658285950543,0.8381704835656532,0.04630988588382016,0.6868921717007955,0.06814454141610159,0.6868921717007955,0.06814454141610159
53,128,3,"[32, 64, 128]",5,0.0,128,1,0.0005,0.0001,32,12,1.0,60,,,,,0.2134429762760798,0.05971607215672321,0.457034299770991,0.06754833145906024,0.3529200454552968,0.03903426180568093,0.8316970858501969,0.067592463458671,0.6867691477139791,0.11092167397113548,0.6867691477139791,0.11092167397113548
54,16,3,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,,,,,0.21092533299299043,0.03438622933121608,0.45772525668144226,0.03758912884338936,0.3607170681158702,0.02530452987609849,0.8476157413909492,0.038368816595408896,0.6860952576001486,0.08818796655831077,0.6860952576001486,0.08818796655831077
55,1,3,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,,,,,0.21503017842769623,0.03794067017492446,0.4617667893568675,0.042445353709351354,0.3668159047762553,0.03192381072553683,0.835959272189552,0.04725053496100096,0.6857477823893229,0.07239987845534841,0.6857477823893229,0.07239987845534841
56,48,3,"[64, 128, 256, 512]",3,0.2,256,2,0.001,0.0,8,25,1.0,60,,,,,0.21579653043241886,0.02583306766801816,0.46368683377901715,0.028129197733419622,0.3746982514858246,0.03136400371628845,0.8367327080976299,0.0317376135709767,0.6852718393007914,0.050365860218892916,0.6852718393007914,0.050365860218892916
57,111,3,"[128, 256, 512]",5,0.0,256,2,0.001,0.0,16,12,1.0,60,,,,,0.21494920491429503,0.032175623682903505,0.4622578223546346,0.03559366178889715,0.3692064881324768,0.024103027013752474,0.8343142734880078,0.04912265896413753,0.6833585500717163,0.07530564234343874,0.6833585500717163,0.07530564234343874
58,91,3,"[64, 128, 256, 512]",5,0.2,256,1,0.0005,1e-05,16,25,1.0,60,,,,,0.21164731351757346,0.03477725177331029,0.4585401515165965,0.03725903549633483,0.3630971809228261,0.017126238684165355,0.8423675640028732,0.039995653736848547,0.6824676394462585,0.09557774486060948,0.6824676394462585,0.09557774486060948
59,3,3,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,,,,,0.21676724290365001,0.05270092287612631,0.4618271291255951,0.059016505791816914,0.359220951795578,0.03843612437388692,0.8385846486502356,0.05490390005487373,0.6821747422218323,0.09933469287941876,0.6821747422218323,0.09933469287941876
60,36,3,"[64, 128, 256]",5,0.2,128,2,0.0003,1e-05,32,12,0.5,60,,,,,0.21778981884320578,0.057517521622097494,0.46214864651362103,0.06487265946311829,0.36708017190297443,0.0522978073951788,0.8372558861223989,0.06638609006537599,0.6819915572802225,0.10285058932569655,0.6819915572802225,0.10285058932569655
61,51,3,"[128, 256, 512]",3,0.0,128,1,0.0003,1e-05,8,25,0.5,60,,,,,0.2196622846932426,0.05408470000140953,0.46469444036483765,0.06099355868204394,0.3697885572910309,0.043741008997548944,0.826795223600366,0.05694809111708048,0.6815639535586039,0.08841234395823216,0.6815639535586039,0.08841234395823216
62,110,3,"[32, 64, 128]",5,0.4,512,2,0.001,0.0001,32,25,1.0,60,,,,,0.21743624905745187,0.04529476275971996,0.46355698506037396,0.050509618624396874,0.3636717100938161,0.04074717743776226,0.8303871184954009,0.053488813134100546,0.6814340551694235,0.08713948449559686,0.6814340551694235,0.08713948449559686
63,39,3,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,1e-05,8,12,0.5,60,,,,,0.21572681363219415,0.009717858254322238,0.46434667706489563,0.0104507376751137,0.36867664257685345,0.02016571267559421,0.8429804151521035,0.02853077225839769,0.6813138922055563,0.059660030778079264,0.6813138922055563,0.059660030778079264
64,115,3,"[128, 256, 512]",3,0.0,256,2,0.0003,1e-05,8,25,0.5,60,,,,,0.22345305324714873,0.0693450078321341,0.4660387337207794,0.07913478021905031,0.3638109266757965,0.05602098464803538,0.8299905168258851,0.0610141666334637,0.6800633867581686,0.10079683886765912,0.6800633867581686,0.10079683886765912
65,101,3,"[128, 256, 512]",5,0.0,256,2,0.0003,1e-05,32,25,1.0,60,,,,,0.21977139512697855,0.04335857093743028,0.4663076897462209,0.048255280056876404,0.369228591521581,0.04214389480706113,0.8375274835577411,0.04230508720669353,0.6800609032313029,0.07555626656111089,0.6800609032313029,0.07555626656111089
66,105,3,"[64, 128, 256]",5,0.2,256,2,0.0005,1e-05,8,12,0.5,60,,,,,0.21651411592681832,0.02618528325213159,0.46442750096321106,0.028651237381288493,0.37587788701057434,0.02877589448309286,0.8339955757981375,0.04532556702161754,0.6799779534339905,0.07314636157365381,0.6799779534339905,0.07314636157365381
67,107,3,"[32, 64, 128]",3,0.4,128,1,0.001,0.0001,16,25,0.5,60,,,,,0.22122849876821224,0.05910036973031118,0.4656016230583191,0.06666078632772854,0.3614123960336049,0.05098901599315601,0.8237652283756174,0.06290742678012218,0.6788774132728577,0.09897008989904568,0.6788774132728577,0.09897008989904568
68,75,3,"[128, 256, 512]",5,0.4,512,2,0.0003,0.0001,16,25,1.0,60,,,,,0.22226254904288742,0.05184906447025586,0.46787258982658386,0.05794658087502078,0.36353837450345355,0.046785084069357497,0.8240482908254362,0.050791996367559364,0.6780174970626831,0.08320759280151326,0.6780174970626831,0.08320759280151326
69,69,3,"[64, 128, 256]",5,0.0,256,2,0.0005,0.0001,8,12,1.0,60,,,,,0.21593706992185005,0.034751464507408104,0.46318817138671875,0.03733306976613115,0.36274004975954693,0.02314622598607808,0.8306116538078953,0.05231691788470748,0.6778990825017294,0.09189844585159505,0.6778990825017294,0.09189844585159505
70,106,3,"[64, 128, 256]",5,0.2,256,1,0.0005,1e-05,32,12,0.5,60,,,,,0.22302727897961935,0.026152927873236614,0.47144923607508343,0.027620969101001955,0.3719872335592906,0.024247296436088982,0.8295090866162959,0.029074321864869978,0.675480326016744,0.04543553916494027,0.675480326016744,0.04543553916494027
71,5,3,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,,,,,0.21582753956317902,0.04686470664981321,0.46193740765253705,0.04941034703060439,0.35862000783284503,0.03370529939376472,0.8480554131106272,0.05299556026366463,0.6749191880226135,0.11290453387804111,0.6749191880226135,0.11290453387804111
72,99,3,"[32, 64, 128]",3,0.2,128,1,0.001,0.0001,16,25,0.5,60,,,,,0.2252344053668025,0.04708559452872586,0.47175995508829754,0.0517395647789486,0.3784795602162679,0.05292141301659148,0.8285034334332568,0.043425536510819755,0.6746253967285156,0.06906658277853088,0.6746253967285156,0.06906658277853088
73,89,3,"[64, 128, 256, 512]",5,0.4,128,1,0.0005,0.0001,8,12,1.0,60,,,,,0.22475059476689754,0.03907793983026789,0.4721492926279704,0.042722597253608656,0.3726713756720225,0.03514117776508846,0.8325142348265734,0.03925233650021124,0.6712700128555298,0.07605126979073343,0.6712700128555298,0.07605126979073343
74,117,3,"[32, 64, 128]",5,0.2,256,2,0.0003,0.0001,8,12,0.5,60,,,,,0.2226154696997081,0.04524825905479653,0.4692896008491516,0.04881135966138184,0.37364310026168823,0.03838169691869483,0.8370729646857651,0.05588330258707429,0.6703326304753622,0.09925420988859195,0.6703326304753622,0.09925420988859195
75,125,3,"[64, 128, 256]",5,0.4,128,2,0.0005,0.0,8,25,1.0,60,,,,,0.2246558278613373,0.043661210413692995,0.4715760449568431,0.04766106540213254,0.3831951916217804,0.03611853501903719,0.8260064744681666,0.048112361213274925,0.6700920263926188,0.08823193865309578,0.6700920263926188,0.08823193865309578
76,11,3,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,,,,,0.22038382152530633,0.028219032366253727,0.4685154954592387,0.029613113703779316,0.3811716636021932,0.02049175917284349,0.8239370202918866,0.049818335057091455,0.6692911187807719,0.09210900916119907,0.6692911187807719,0.09210900916119907
77,72,3,"[32, 64, 128]",3,0.2,256,2,0.001,1e-05,8,25,0.5,60,,,,,0.23877503915553522,0.08020149143602481,0.48140397667884827,0.08380815564021576,0.37764544288317364,0.0733739785318515,0.8338032925559139,0.036480174257370164,0.6678136587142944,0.06374349276836551,0.6678136587142944,0.06374349276836551
78,77,3,"[128, 256, 512]",3,0.2,128,2,0.0005,0.0001,16,25,0.5,60,,,,,0.23171034044472974,0.048240725422122495,0.4785948693752289,0.05154871871873024,0.3683124879995982,0.038715828914036896,0.8226840147667288,0.03148853833512718,0.6672293941179911,0.05744064087253187,0.6672293941179911,0.05744064087253187
79,18,3,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,,,,,0.23187974842723658,0.04201267028037198,0.4795257846514384,0.043986284681555896,0.3862368067105611,0.03786497180872259,0.8335451281970544,0.020427013106241124,0.6665582458178202,0.04446903315029612,0.6665582458178202,0.04446903315029612
80,88,3,"[128, 256, 512]",3,0.2,128,1,0.0005,0.0001,8,25,0.5,60,,,,,0.23596894488063555,0.07755947379624024,0.4780427614847819,0.0862936294161022,0.37366847197214764,0.06260992594767213,0.8180313768451625,0.05916048930160039,0.6650669177373251,0.10252362913913045,0.6650669177373251,0.10252362913913045
81,118,3,"[128, 256, 512]",3,0.0,128,1,0.0005,0.0001,8,12,0.5,60,,,,,0.22924709645015798,0.05320041998507291,0.47525115807851154,0.05817179624411168,0.3792211910088857,0.04580329796110482,0.8223559847372156,0.058746732727489225,0.6650498708089193,0.09701299380915385,0.6650498708089193,0.09701299380915385
82,44,3,"[128, 256, 512]",5,0.0,128,2,0.001,0.0,32,12,1.0,60,,,,,0.2304814507563909,0.053068012613213526,0.47673062483469647,0.05665122247603328,0.3798268437385559,0.04299423519736661,0.8262520238747403,0.056593603374443344,0.6594410339991251,0.10912103305936809,0.6594410339991251,0.10912103305936809
83,25,3,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,,,,,0.2409784932188527,0.06648180097272771,0.4858764012654622,0.0700259280206111,0.38358811537424725,0.053409082862882935,0.8171352172216967,0.03662450210952406,0.6590107679367065,0.06512757623244315,0.6590107679367065,0.06512757623244315
84,7,3,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,,,,,0.23617383340994516,0.06415026167246511,0.4809044897556305,0.07003514859347364,0.3720127542813619,0.05230607520612219,0.8127990347360727,0.06715649651627699,0.6569094657897949,0.10851428628697167,0.6569094657897949,0.10851428628697167
85,103,3,"[64, 128, 256]",5,0.2,512,1,0.0005,1e-05,8,12,1.0,60,,,,,0.23296143135456282,0.017839302631611625,0.4822971125443776,0.018736726427713218,0.382094810406367,0.019374035944709087,0.8112012438769778,0.04092631424130153,0.6564935247103373,0.06556993447049236,0.6564935247103373,0.06556993447049236
86,74,3,"[64, 128, 256]",5,0.2,256,2,0.001,0.0001,16,12,1.0,60,,,,,0.23347710558094337,0.03887428602110574,0.48142215609550476,0.04134986979796417,0.38404902815818787,0.03319971164707306,0.818618594589644,0.05646407006784181,0.656236489613851,0.08613118140136605,0.656236489613851,0.08613118140136605
87,104,3,"[64, 128, 256]",3,0.0,512,2,0.0005,0.0,32,25,0.5,60,,,,,0.24416768550872803,0.06344278743525594,0.4895791709423065,0.06693214700975601,0.38152919212977093,0.05619215467234904,0.816642105817596,0.03774462490496339,0.6523065567016602,0.07146726981463518,0.6523065567016602,0.07146726981463518
88,23,3,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,,,,,0.23342188696066538,0.059124809143480936,0.47920457522074383,0.06152128702235216,0.3700920343399048,0.04096185963432706,0.814711464765543,0.07619752176784653,0.6521430015563965,0.1252967481432478,0.6521430015563965,0.1252967481432478
