rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
39,130,3,800,5,0.05,0.6,0.8,3.0,0.0,3.0,0.0,1.0,100,,,,,58.666666666666664,61.11373731730771,0.5327102803738318,0.12280625136714655,0.49179564868217446,0.1378654750162184,0.7054578526358455,0.09747728902558347,0.07094840700061326,0.18943690432532467,0.07094840700061326,0.18943690432532467
40,129,3,500,5,0.05,0.8,0.8,10.0,0.01,1.0,0.5,0.0,50,,,,,40.666666666666664,37.06151043273271,0.5545171339563862,0.12429867503588785,0.5184963499302789,0.14617900392607794,0.7032940693049746,0.10109365655374812,0.07080776495354546,0.18125081443789365,0.07080776495354546,0.18125081443789365
41,222,3,1200,2,0.01,0.6,0.6,5.0,0.0,10.0,0.1,0.0,50,,,,,516.0,461.15579435443146,0.5482866043613707,0.10961129025395128,0.5043498399791729,0.13454921384746305,0.699905287325924,0.10494703560864432,0.07057100716169358,0.18766531980776502,0.07057100716169358,0.18766531980776502
42,234,3,1600,2,0.05,0.6,1.0,5.0,0.0,3.0,0.5,0.0,100,,,,,67.66666666666667,75.91369368492677,0.5700934579439252,0.10683132834568378,0.5158028732991627,0.1377711112499611,0.699172948191663,0.10851714125589478,0.07055643790180728,0.1857398362530898,0.07055643790180728,0.1857398362530898
43,8,3,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,,,,,169.0,161.4269700721248,0.5327102803738318,0.10094611679763021,0.4903327948246023,0.12747213516372163,0.7003734906244281,0.09911583758053144,0.070215237263016,0.1816838410993496,0.070215237263016,0.1816838410993496
44,49,3,500,5,0.1,0.6,1.0,10.0,0.1,10.0,0.5,1.0,50,,,,,57.0,62.27358990776106,0.5109034267912772,0.1679356008964929,0.47664015445075053,0.17428501540882524,0.6955632462693201,0.11847475782692515,0.07017333271658314,0.19414053727429925,0.07017333271658314,0.19414053727429925
45,7,3,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,,,,,332.0,295.01299406410334,0.545171339563863,0.12359398395562224,0.4983405117685525,0.1530020922640531,0.699544024332018,0.10672398775513652,0.07005312330358075,0.18566152613814907,0.07005312330358075,0.18566152613814907
46,162,3,500,3,0.05,0.6,0.8,10.0,1.0,5.0,0.5,0.0,100,,,,,69.33333333333333,69.59086785555192,0.5109034267912772,0.16584213899322323,0.47128438746796236,0.1762094161591452,0.6976173066508223,0.1213397106747652,0.06999700111878367,0.1990593238650102,0.06999700111878367,0.1990593238650102
47,145,3,1600,5,0.05,0.6,0.6,10.0,0.01,5.0,0.5,0.0,100,,,,,65.33333333333333,69.26438879796424,0.5109034267912772,0.15363025552570655,0.4726376846584561,0.16270538442708707,0.6944660565707789,0.12077941824258677,0.06981282882235396,0.19986327109629934,0.06981282882235396,0.19986327109629934
48,184,3,1200,4,0.03,0.6,0.8,5.0,0.1,10.0,0.0,0.0,100,,,,,139.0,114.59784756559202,0.5327102803738318,0.10490628187216657,0.49489962562043194,0.12015167530179845,0.7014091609405783,0.10430638948257231,0.06961394158275684,0.1842941881812869,0.06961394158275684,0.1842941881812869
49,122,3,1600,2,0.1,0.8,0.8,3.0,0.01,10.0,0.5,1.0,50,,,,,40.0,38.99572626156188,0.5420560747663551,0.08800278437274475,0.5017701337213454,0.10160041272093781,0.6954779323082749,0.09462917606388051,0.06960614481997773,0.17509098840261408,0.06960614481997773,0.17509098840261408
