trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
33,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,2,0.4,0.0003,0.0001,32,9,60,1.0505608320236206,31,51,0.5128205128205128,0.3685636856368564,0.6424900606251233,-0.06398149300700551
33,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.4,0.0003,0.0001,32,9,60,1.047837257385254,21,41,0.5512820512820513,0.40645586297760206,0.6957574708568397,0.0579271289688319
34,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,128,2,0.4,0.001,0.0001,16,6,60,0.7677704707170144,3,23,0.6153846153846154,0.4773391812865497,0.872266447142931,0.28148169839927395
34,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,128,2,0.4,0.001,0.0001,16,6,60,1.0311313485487914,4,24,0.46153846153846156,0.24275989385023652,0.5539935565977233,-0.07112108547974016
34,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,128,2,0.4,0.001,0.0001,16,6,60,1.0146399479878099,11,31,0.569620253164557,0.5078908007396153,0.7483116995224757,0.16077394776670162
35,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.0,0.001,0.0,32,6,60,0.6674730181694031,22,42,0.7948717948717948,0.7930756443604995,0.8825399940470048,0.4189494522068572
35,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.0,0.001,0.0,32,6,60,1.0501272678375244,4,24,0.5384615384615384,0.2333333333333333,0.590117444284111,-0.05987311379462179
35,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.0,0.001,0.0,32,6,60,0.9613826274871826,8,28,0.5822784810126582,0.42658730158730157,0.7299498365075648,0.1309545000959571
36,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,2,0.2,0.001,0.0,32,9,60,0.7528334259986877,4,24,0.6410256410256411,0.4994152046783626,0.8914471798152128,0.32385928273680475
36,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,128,2,0.2,0.001,0.0,32,9,60,1.0701541900634766,2,22,0.5384615384615384,0.24347826086956523,0.5470000929303255,-0.09881060184567603
